Name,NA_sales,EU_sales,JP_sales,other_sales
.hack//G.U. Vol.1//Rebirth,0,0,0.17,0
.hack//G.U. Vol.2//Reminisce,0.11,0.09,0,0.03
.hack//G.U. Vol.2//Reminisce (jp sales),0,0,0.16,0
.hack//G.U. Vol.3//Redemption,0,0,0.17,0
.hack//Infection Part 1,0.49,0.38,0.26,0.13
.hack//Link,0,0,0.14,0
.hack//Mutation Part 2,0.23,0.18,0.2,0.06
.hack//Outbreak Part 3,0.14,0.11,0.17,0.04
.hack//Quarantine Part 4: The Final Chapter,0.09,0.07,0,0.02
.hack: Sekai no Mukou ni + Versus,0,0,0.03,0
[Prototype 2],0.91,0.55,0,0.19
[Prototype],1.49,0.76,0,0.31
¡Shin Chan Flipa en colores!,0,0,0.14,0
007 Racing,0.3,0.2,0,0.03
007: Quantum of Solace,1.84,1.35,0.04,0.68
007: The World is not Enough,1.64,0.73,0.02,0.09
007: Tomorrow Never Dies,1.72,1.33,0,0.16
1 vs. 100,0.08,0,0,0.01
1/2 Summer +,0,0,0.01,0
10 Minute Solution,0.06,0.01,0,0.01
100 All-Time Favorites,0.35,0.12,0,0.04
100 Classic Books,0.13,0.52,0,0.02
100 Classic Games,0,0.03,0,0
1000 Cooking Recipes from ELLE à table,0,0.02,0,0
1001 Touch Games,0.12,0.17,0,0.04
101-in-1 Explosive Megamix,0.05,0.13,0,0.02
101-in-1 Party Megamix Wii,0.19,0.01,0,0.02
101-in-1 Sports Megamix,0.08,0,0,0.01
101-in-1 Sports Party Megamix,0.02,0,0,0
1080°: TenEighty Snowboarding,1.25,0.61,0.13,0.05
11eyes: CrossOver,0,0,0.04,0
12Riven: The Psi-Climinal of Integral,0,0,0.04,0
12-Sai. Honto no Kimochi,0,0,0.07,0
12-Sai. Koisuru Diary,0,0,0.04,0
15 Days,0,0.01,0,0
1701 A.D.,0,0.25,0,0.05
18 Wheeler: American Pro Trucker,0.29,0.17,0,0.05
18 Wheels of Steel: Extreme Trucker,0,0.02,0,0
18 Wheels of Steel: Extreme Trucker 2,0.08,0.02,0,0.01
187: Ride or Die,0.12,0.07,0,0.02
1942,0.65,0.14,0.21,0
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,0.09,0.03,0,0
